Submission ID,age,cups_per_day,Where do you typically drink coffee?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home?,How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?","On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What else do you add to your coffee?,What kind of dairy do you add?,What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add?,What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),What kind of flavorings do you add?,What kind of flavorings do you add? (Vanilla Syrup),What kind of flavorings do you add? (Caramel Syrup),What kind of flavorings do you add? (Hazelnut Syrup),What kind of flavorings do you add? (Cinnamon (Ground or Stick)),What kind of flavorings do you add? (Peppermint Syrup),What kind of flavorings do you add? (Other),What other flavoring do you use?,flavor_preference,How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,expertise,Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee A - Notes,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee B - Notes,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee C - Notes,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,Coffee D - Notes,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?",overall_favorite,Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
LdMxpz,25-34 years old,2,"At the office, At home, On the go",True,True,True,False,False,Other,False,False,False,False,False,False,False,False,False,True,Clever,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop",True,False,False,True,False,False,,Americano,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Very strong,Light,Full caffeine,6.0,3.0,4.0,4.0,"Citrus flavors, heavy lemon water feel",4.0,1.0,4.0,"Nutty, chocolate",2.0,2.0,3.0,"Milder, rounder nutty flavor coconut",1.0,5.0,3.0,"Red berries, Christmas, bright fruit notes, wine",Coffee B,Coffee A,Coffee B,I do a mix of both,$60-$80,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,No,$10-$15,$10-$15,Yes,$100-$300,No,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat
VZ1Kkj,35-44 years old,2,"At home, At a cafe",True,False,False,True,False,"Pour over, French press, Cold brew, Other",True,True,False,False,False,False,False,True,False,True,Chemex,,,,,,,,,Cold brew,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Half and half,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Fruity,Medium,Medium,Full caffeine,7.0,2.0,4.0,2.0,"It was enjoyable piping hot, but as it cooled the sourness took over and combined with the body it almost made me think of egg drop soup.",3.0,2.0,4.0,"Solid, darker, nice choclate",2.0,2.0,4.0,"Of the four, this one felt like the best ""daily driver."" Like, this is a coffee that would be a good house roast at a coffee shop or upscale diner. Well balanced, stayed enjoyable throughout the temperature range",2.0,4.0,5.0,"This was an adventure! It felt the most ""coffee nerd"" of the bunch, if you will. I had two other friends doing the tasting, and I knew which one would like it and hate it the second I tasted. Love the strong berry notes to it, went through a phase when cooling where it reminded me of crunchberries from the serial? strawberry flavored things, but not the fresh fruit?",Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual",True,False,True,False,False,,Yes,Yes,$8-$10,More than $20,No,$100-$300,Yes,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat
YZzAAJ,25-34 years old,4,"At home, At a cafe, On the go",True,False,True,True,False,"Pour over, Espresso, Cold brew",True,False,True,False,False,False,False,True,False,False,,"National chain (e.g. Starbucks, Dunkin), Local cafe",True,True,False,False,False,False,,Americano,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Half and half,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Nutty,Very strong,Dark,Full caffeine,7.0,2.0,4.0,3.0,"Dry mouthfeel, caramel",4.0,3.0,5.0,"Smooth, dark chocolate",3.0,1.0,4.0,"Chocolate, dry, floral",1.0,2.0,1.0,Blueberries,Coffee B,Coffee A,Coffee B,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,No,$8-$10,$8-$10,No,"More than $1,000",Yes,Female,,Bachelor's degree,White/Caucasian,,Student,,Independent
0Ej0WA,45-54 years old,2,At home,True,False,False,False,False,"Coffee extract (e.g. Cometeer), Pour over",True,False,False,False,False,False,False,False,True,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Somewhat light,Light,Full caffeine,8.0,4.0,3.0,3.0,,2.0,2.0,4.0,,3.0,2.0,3.0,,3.0,4.0,5.0,,Coffee B,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the caffeine",True,True,False,False,False,,Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Republican
NABZWj,25-34 years old,2,"At home, At a cafe",True,False,False,True,False,"Pour over, Other",True,False,False,False,False,False,False,False,False,True,Aeropress,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy,Somewhat strong,Light,Full caffeine,7.0,1.0,4.0,5.0,"Fruity, apple? Very sweet 

Origin: columbia ",3.0,3.0,2.0,"Very bitter when hot. 
Got much better as it cooled
Nutty 

Origin: Brazil ",4.0,1.0,3.0,"Higher bitterness than B while hot, improved as it cooled. 
Sweet and nutty when cool

Origin: Brazil",1.0,5.0,4.0,"Naturally processed 
Fruity, blueberry, almost like fruit punch

Origin: Ethiopia ",Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$8-$10,$10-$15,Yes,$100-$300,Yes,Male,,Master's degree,White/Caucasian,,Student,,Democrat
GrodaO,35-44 years old,2,At home,True,False,False,False,False,"Pour over, Espresso",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Regular drip coffee,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Medium,Light,Full caffeine,7.0,2.0,4.0,4.0,"Caramel, changes big time when cool. Preference changed wildly",3.0,3.0,2.0,"Christmas morning, warm, robust",4.0,2.0,3.0,"Drying of the mouth, roasty, diner coffee, Hawaii. Huge dislike to like",2.0,3.0,4.0,"Natural process,",Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the ritual, I need the caffeine",True,True,True,False,False,,Yes,Yes,$4-$6,$4-$6,Yes,"More than $1,000",Yes,Male,,,,,,,
g5WjNP,25-34 years old,Less than 1,At home,True,False,False,False,False,"Pod/capsule machine (e.g. Keurig/Nespresso), Coffee brewing machine (e.g. Mr. Coffee)",False,False,False,True,True,False,False,False,False,False,,,,,,,,,,Cold brew,,"Milk, dairy alternative, or coffee creamer, Flavor syrup",False,True,False,True,False,,"Oat milk, Almond milk",False,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,Chocolatey,Medium,Blonde,Half caff,6.0,2.0,4.0,1.0,,3.0,3.0,3.0,,4.0,2.0,2.0,,2.0,5.0,1.0,,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,It tastes good,True,False,False,False,False,,Yes,No,$6-$8,$8-$10,No,$300-$500,Yes,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat
RzByqd,25-34 years old,2,At home,True,False,False,False,False,"Pour over, French press, Other",True,True,False,False,False,False,False,False,False,True,aeropress,,,,,,,,,Regular drip coffee,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,4.0,,4.0,2.0,2.0,,5.0,1.0,3.0,,1.0,3.0,5.0,,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$6-$8,More than $20,No,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation
pL0a41,25-34 years old,1,At home,True,False,False,False,False,"Espresso, Pour over",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Espresso,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy,Very strong,Medium,Full caffeine,7.0,2.0,5.0,4.0,"Fruity, bright",3.0,1.0,3.0,"Neutral, Nutty",5.0,2.0,3.0,Dark Chocolate,1.0,3.0,5.0,"Jammy, fruity, sweet",Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual",True,False,True,False,False,,Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
XeBPa4,55-64 years old,2,At home,True,False,False,False,False,"Coffee brewing machine (e.g. Mr. Coffee), Other",False,False,False,True,False,False,False,False,False,True,Aeropress,,,,,,,,,Regular drip coffee,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bold,Somewhat strong,Dark,Full caffeine,5.0,1.0,3.0,3.0,"It seemed very plain when hot, got more acid as it cooled.  It reminded me of chicory and I don't like that generally.",2.0,3.0,5.0,"Very smooth when hot, got a bit fruity aftertaste as it cooled.",3.0,4.0,4.0,"Definitely better hot.  It was very smooth, and my second favorite.",3.0,4.0,1.0,"Too fruity, almost rancid flavor.  Did not like it, hot or cold.",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,True,False,False,False,False,,Yes,Yes,$8-$10,$8-$10,Yes,$50-$100,Yes,Female,,Bachelor's degree,White/Caucasian,,Retired,2,No affiliation
