Coffee A,Coffee B,Coffee C,Coffee D
0.22101703240854184,0.214554235073103,0.203144580349769,0.3612841521685861
0.19281073027036902,0.16173541971136282,0.18069584627329194,0.4647580037449762
0.15964285714285714,0.23837301587301588,0.24960317460317463,0.35238095238095235
0.19130388997704345,0.21244571512815655,0.19422126745435017,0.4020291274404499
0.16174948595979743,0.16296348012889367,0.19552471996317325,0.4797623139481356
0.2152364606096522,0.23184040396557898,0.24300349889502082,0.309919636529748
0.2147415272918027,0.26923465481352515,0.22750094311719768,0.28852287477747457
0.22406771180047044,0.1634578618026894,0.18498183774907914,0.4274925886477611
0.27452729246919916,0.20415541757150496,0.18442725100123314,0.3368900389580628
0.20281696537749364,0.17183135939628968,0.26651563428012437,0.35883604094609234
0.24655082742316783,0.21617223910840933,0.15029381965552177,0.38698311381290107
0.21187704996528522,0.23007320022025907,0.16866276425099955,0.38938698556345613
0.22291596977136718,0.2323248746867168,0.20373349828653264,0.34102565725538336
0.2118894284010563,0.2010915750915751,0.20654587273191927,0.38047312377544934
0.18509657917220945,0.22242234055784477,0.22789823361777145,0.3645828466521744
0.18066428571428572,0.21994603174603178,0.19884206349206351,0.40054761904761904
0.2123380304502754,0.1929377227081309,0.26287293488824104,0.33185131195335277
0.23385837001467252,0.21658195945044684,0.140753214619181,0.40880645591569964
0.33245363408521306,0.20748657357679917,0.15200572860723235,0.3080540637307555
0.2216651199632613,0.19119132942008638,0.1633771351929732,0.4237664154236791
0.21029231360318215,0.21218015534009838,0.16793203305685508,0.4095954979998644
0.25895465082584757,0.18820188995138284,0.20778172188415595,0.34506173733861367
0.20664685386349663,0.16977474892395983,0.2548208649313384,0.3687575322812052
0.24075659440378133,0.1497733052791129,0.2040355597215851,0.40543454059552064
0.21394782913165264,0.1515108543417367,0.2076137955182073,0.42692752100840337
0.23032826338082402,0.21234020023103584,0.18449942241047362,0.3728321139776666
0.20840816326530615,0.17535860058309038,0.18459183673469387,0.4316413994169096
0.15959400592370332,0.24443007555428387,0.208055300786476,0.38792061773553677
0.24701955782312923,0.14174319727891155,0.19003401360544217,0.421203231292517
0.21863292991615252,0.16571988873068608,0.198656198913674,0.41699098243948746
0.1665827664399093,0.17970309901738474,0.2539715797430083,0.39974255479969767
0.19698010267936963,0.1740696619073161,0.2799145360271768,0.34903569938613743
0.2025431273554718,0.15451774159141007,0.21662355116262533,0.42631557989049274
0.17031873681873683,0.2600313112813113,0.21996131646131648,0.34968863543863543
0.1796401463811331,0.24744431643625192,0.2102671713846829,0.3626483657979321
0.2453537776812853,0.1751483391228832,0.17895788102475033,0.4005400021710812
0.2184224664224664,0.1521269841269841,0.20445665445665445,0.424993894993895
0.2328053266178266,0.15898497732426303,0.25931251090179663,0.34889718515611373
0.21828356495387616,0.20247332025044387,0.2199158156113581,0.3593272991843219
0.1587992007992008,0.2116830502830503,0.22466766566766566,0.4048500832500832
0.29541836734693877,0.16989641311069884,0.21336023500309215,0.3213249845392703
0.23458730439950543,0.21803485070478515,0.16498109730319027,0.3823967475925192
0.2469381708238851,0.19770914588057445,0.25101315192743767,0.30433953136810277
0.16608618954089843,0.2532704056155569,0.16885011389954963,0.411793290943995
0.2763268967874231,0.17307074504442926,0.20040812257917523,0.35019423558897245
0.22001455179567353,0.2180407340037983,0.19184598096841599,0.3700987332321122
0.217969996509242,0.14278674874205,0.203708717529565,0.43553453721914304
0.24366816412099432,0.22569781371668163,0.2133545971847859,0.3172794249775382
0.2158098726670155,0.16409802895517184,0.19919658119658118,0.4208955171812315
0.20214397759103642,0.18041807081807082,0.1990714070243482,0.41836654456654454
0.28180502276098407,0.17139200040918623,0.19219869401394643,0.3546042828158833
0.2208074704536192,0.21673155898304025,0.1841009906266654,0.37835997993667514
0.24979226157690765,0.13848315443280548,0.19696283278038013,0.41476175120990677
0.1762784364758049,0.14796799691536533,0.2200018074031232,0.45575175920570654
0.24588801745743666,0.1867907484227811,0.19728376976925072,0.37003746435053153
0.2008810966810967,0.2438271284271284,0.1988932178932179,0.356398556998557
0.2114580770107086,0.1863115971747551,0.17533312827523356,0.42689719753930283
0.2086780938579239,0.21713899893664074,0.18723408960448681,0.38694881760094857
0.24806978735550164,0.19064592550306836,0.18825488796917367,0.3730293991722563
